name,description,language,visibility,stars,forks,watchers,total_issues,open_issues,closed_issues,total_prs,merged_prs,rejected_prs,open_prs,issue_resolution_time_avg,pr_resolution_time_avg,created_at,last_commit,size_kb,default_branch,license,is_template
aws-deepracer-device-info-pkg,The DeepRacer Device Info ROS package creates the device_info_node that is responsible for providing the hardware version of the AWS DeepRacer device and software version of aws-deepracer-core debian package.,Python,public,1,4,1,0,0,0,2,2,0,0,0.0,1.0,2021-02-24 17:40:40,3 years ago,34,main,Apache License 2.0,False
aws-deepracer-camera-pkg,The DeepRacer Camera ROS package creates the camera_node that is responsible for reading the raw data from the one/two cameras connected to the USB slots at the front of the AWS DeepRacer device and publishing them as CameraMsg.,C++,public,4,6,4,1,0,1,4,2,0,2,27.0,1.5,2021-02-23 04:11:18,3 years ago,35,main,Apache License 2.0,False
aws-deepracer,"Simulation artifacts, core components and configuration files to integrate AWS DeepRacer device with ROS Navigation stack.",Python,public,50,37,50,7,2,5,4,1,1,2,7.6,3.0,2021-10-04 20:10:12,2 years ago,97356,main,Apache License 2.0,False
aws-deepracer-ctrl-pkg,"The DeepRacer Control ROS package creates the ctrl_node that manages the different mode of operation of the device [manual, autonomous, calibration].",C++,public,4,5,4,0,0,0,2,2,0,0,0.0,1.5,2021-02-24 17:34:32,3 years ago,54,main,Apache License 2.0,False
aws-deepracer-follow-the-leader-sample-project,Learn to deploy an object detection model that enables the AWS DeepRacer device to identify and follow an object. ,Python,public,64,36,64,2,1,1,2,2,0,0,14.0,1.0,2021-02-25 19:01:22,2 years ago,29486,main,Apache License 2.0,False
aws-deepracer-i2c-pkg,The DeepRacer I2C ROS package creates the battery_node that is responsible for providing the vehicle battery level information.,C++,public,1,4,1,0,0,0,3,2,0,1,0.0,2.0,2021-02-24 17:43:00,3 years ago,28,main,Apache License 2.0,False
aws-deepracer-inference-pkg,The DeepRacer Inference ROS package creates the inference_node that is responsible for running the inference on the machine learning model that is selected using the Intel OpenVino Inference Engine APIs.,C++,public,5,7,5,0,0,0,5,2,0,3,0.0,1.0,2021-02-24 17:44:03,3 years ago,39,main,Apache License 2.0,False
aws-deepracer-interfaces-pkg,The DeepRacer Interfaces ROS package is a foundational package that creates the custom service and message types that are used in the core AWS DeepRacer application.,CMake,public,2,7,2,0,0,0,4,1,2,1,0.0,155.7,2021-02-24 17:36:04,3 years ago,26,main,Apache License 2.0,False
aws-deepracer-launcher,Build robotics applications with AWS DeepRacer device software and hardware: https://www.amazon.com/dp/B07JMHRKQG,Python,public,104,37,104,1,0,1,3,3,0,0,588.0,0.0,2021-02-24 17:41:48,5 months ago,2942,main,Apache License 2.0,False
aws-deepracer-mapping-sample-project,"In this project, use the AWS DeepRacer car to draw a map with SLAM (Simultaneous Localization and Mapping), a technique for creating a map of an environment by estimating a device’s current location as it moves through a space.",,public,26,9,26,0,0,0,2,2,0,0,0.0,1.0,2021-02-25 19:03:06,3 years ago,8588,main,Apache License 2.0,False
